            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460954.375000000, A.D. 2025-Oct-05 21:00:00.0000,  9.815098705288069E+07,  3.761312338852412E+07,  1.916105860372701E+07, -2.869016677216666E-01,  3.630721672903748E+01,  1.465267741573824E+01,  3.08920885E+04,  4.93269774E+06,  1.96297786E+06,  1.43684419E+00,  5.52774162E-01,  2.97328511E-01,
2460954.416666667, A.D. 2025-Oct-05 22:00:00.0000,  9.814988618093775E+07,  3.774380284902573E+07,  1.921379503902568E+07, -3.246841204473974E-01,  3.629247898173381E+01,  1.464534070634804E+01,  3.60606804E+04,  4.93070589E+06,  1.96190689E+06,  1.43463930E+00,  5.53806885E-01,  2.97654060E-01,
2460954.458333333, A.D. 2025-Oct-05 23:00:00.0000,  9.814864939727467E+07,  3.787442920437926E+07,  1.926650504612624E+07, -3.624081888403870E-01,  3.627771389076617E+01,  1.463799509188293E+01,  4.12213583E+04,  4.92871034E+06,  1.96083476E+06,  1.43243670E+00,  5.54834705E-01,  2.97977701E-01,
2460954.500000000, A.D. 2025-Oct-06 00:00:00.0000,  9.814727691196765E+07,  3.800500235638380E+07,  1.931918859306191E+07, -4.000739326091605E-01,  3.626292158651981E+01,  1.463064062281607E+01,  4.63741241E+04,  4.92671109E+06,  1.95976146E+06,  1.43023642E+00,  5.55857638E-01,  2.98299439E-01,
2460954.541666667, A.D. 2025-Oct-06 01:00:00.0000,  9.814576893487760E+07,  3.813552220730271E+07,  1.937184564804555E+07, -4.376814116151901E-01,  3.624810219895032E+01,  1.462327734944151E+01,  5.15189821E+04,  4.92470817E+06,  1.95868700E+06,  1.42803844E+00,  5.56875701E-01,  2.98619282E-01,
2460954.583333333, A.D. 2025-Oct-06 02:00:00.0000,  9.814412567564975E+07,  3.826598865987075E+07,  1.942447617947248E+07, -4.752306858735623E-01,  3.623325585758362E+01,  1.461590532187412E+01,  5.66559382E+04,  4.92270159E+06,  1.95761140E+06,  1.42584279E+00,  5.57888909E-01,  2.98937237E-01,
2460954.625000000, A.D. 2025-Oct-06 03:00:00.0000,  9.814234734371282E+07,  3.839640161728816E+07,  1.947708015591814E+07, -5.127218155499527E-01,  3.621838269151733E+01,  1.460852459005028E+01,  6.17849990E+04,  4.92069137E+06,  1.95653466E+06,  1.42364945E+00,  5.58897280E-01,  2.99253310E-01,
2460954.666666667, A.D. 2025-Oct-06 04:00:00.0000,  9.814043414827889E+07,  3.852676098321494E+07,  1.952965754613565E+07, -5.501548609576227E-01,  3.620348282942220E+01,  1.460113520372859E+01,  6.69061718E+04,  4.91867754E+06,  1.95545678E+06,  1.42145845E+00,  5.59900829E-01,  2.99567508E-01,
2460954.708333333, A.D. 2025-Oct-06 05:00:00.0000,  9.813838629834253E+07,  3.865706666177774E+07,  1.958220831905870E+07, -5.875298825581058E-01,  3.618855639954209E+01,  1.459373721248978E+01,  7.20194641E+04,  4.91666009E+06,  1.95437777E+06,  1.41926977E+00,  5.60899572E-01,  2.99879838E-01,
2460954.750000000, A.D. 2025-Oct-06 06:00:00.0000,  9.813620400268032E+07,  3.878731855756418E+07,  1.963473244379916E+07, -6.248469409582237E-01,  3.617360352969537E+01,  1.458633066573744E+01,  7.71248838E+04,  4.91463907E+06,  1.95329765E+06,  1.41708344E+00,  5.61893525E-01,  3.00190307E-01,
2460954.791666667, A.D. 2025-Oct-06 07:00:00.0000,  9.813388746985057E+07,  3.891751657561695E+07,  1.968722988964467E+07, -6.621060969071139E-01,  3.615862434727633E+01,  1.457891561269868E+01,  8.22224388E+04,  4.91261447E+06,  1.95221640E+06,  1.41489945E+00,  5.62882705E-01,  3.00498921E-01,
2460954.833333333, A.D. 2025-Oct-06 08:00:00.0000,  9.813143690819247E+07,  3.904766062144091E+07,  1.973970062606153E+07, -6.993074112969399E-01,  3.614361897925517E+01,  1.457149210242407E+01,  8.73121373E+04,  4.91058632E+06,  1.95113406E+06,  1.41271780E+00,  5.63867128E-01,  3.00805687E-01,
