            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2461143.333333333, A.D. 2026-Apr-12 20:00:00.0000, -1.579347095193038E+08,  1.019497599128404E+08,  3.573976502816953E+07, -6.092416036617608E+00, -1.883243191937184E+01, -7.831201835826678E+00,  8.60952337E+05,  2.87628041E+06,  1.24517940E+06,  4.36944364E-01,  2.99937889E-01,  9.36665479E-02,
2461143.375000000, A.D. 2026-Apr-12 21:00:00.0000, -1.579566229152020E+08,  1.018819505752197E+08,  3.571156832717605E+07, -6.081691886455359E+00, -1.883942197521409E+01, -7.833631879095794E+00,  8.59378909E+05,  2.87736005E+06,  1.24551652E+06,  4.37182315E-01,  2.99859081E-01,  9.36224488E-02,
2461143.416666667, A.D. 2026-Apr-12 22:00:00.0000, -1.579784976943383E+08,  1.018141160770591E+08,  3.568336287986614E+07, -6.070962279524517E+00, -1.884640999724406E+01, -7.836060900537623E+00,  8.57804624E+05,  2.87843940E+06,  1.24585348E+06,  4.37420422E-01,  2.99780192E-01,  9.35783125E-02,
2461143.458333333, A.D. 2026-Apr-12 23:00:00.0000, -1.580003338370619E+08,  1.017462564256828E+08,  3.565514868991959E+07, -6.060227212181088E+00, -1.885339598370242E+01, -7.838488899307814E+00,  8.56229482E+05,  2.87951846E+06,  1.24619028E+06,  4.37658686E-01,  2.99701221E-01,  9.35341391E-02,
2461143.500000000, A.D. 2026-Apr-13 00:00:00.0000, -1.580221313237092E+08,  1.016783716284210E+08,  3.562692576101923E+07, -6.049486680776990E+00, -1.886037993282579E+01, -7.840915874560226E+00,  8.54653481E+05,  2.88059725E+06,  1.24652693E+06,  4.37897108E-01,  2.99622169E-01,  9.34899283E-02,
2461143.541666667, A.D. 2026-Apr-13 01:00:00.0000, -1.580438901346024E+08,  1.016104616926131E+08,  3.559869409685190E+07, -6.038740681660413E+00, -1.886736184284650E+01, -7.843341825446845E+00,  8.53076622E+05,  2.88167574E+06,  1.24686341E+06,  4.38135687E-01,  2.99543035E-01,  9.34456802E-02,
2461143.583333333, A.D. 2026-Apr-13 02:00:00.0000, -1.580656102500513E+08,  1.015425266256021E+08,  3.557045370110649E+07, -6.027989211175107E+00, -1.887434171199304E+01, -7.845766751117936E+00,  8.51498904E+05,  2.88275396E+06,  1.24719974E+06,  4.38374423E-01,  2.99463819E-01,  9.34013946E-02,
2461143.625000000, A.D. 2026-Apr-13 03:00:00.0000, -1.580872916503529E+08,  1.014745664347377E+08,  3.554220457747502E+07, -6.017232265660724E+00, -1.888131953848980E+01, -7.848190650721984E+00,  8.49920326E+05,  2.88383188E+06,  1.24753590E+06,  4.38613318E-01,  2.99384520E-01,  9.33570716E-02,
2461143.666666667, A.D. 2026-Apr-13 04:00:00.0000, -1.581089343157898E+08,  1.014065811273780E+08,  3.551394672965348E+07, -6.006469841453174E+00, -1.888829532055687E+01, -7.850613523405575E+00,  8.48340888E+05,  2.88490952E+06,  1.24787191E+06,  4.38852370E-01,  2.99305139E-01,  9.33127109E-02,
2461143.708333333, A.D. 2026-Apr-13 05:00:00.0000, -1.581305382266323E+08,  1.013385707108856E+08,  3.548568016134004E+07, -5.995701934883916E+00, -1.889526905641047E+01, -7.853035368313577E+00,  8.46760589E+05,  2.88598688E+06,  1.24820775E+06,  4.39091581E-01,  2.99225676E-01,  9.32683126E-02,
2461143.750000000, A.D. 2026-Apr-13 06:00:00.0000, -1.581521033631377E+08,  1.012705351926292E+08,  3.545740487623589E+07, -5.984928542280302E+00, -1.890224074426272E+01, -7.855456184589058E+00,  8.45179429E+05,  2.88706395E+06,  1.24854344E+06,  4.39330949E-01,  2.99146129E-01,  9.32238766E-02,
2461143.791666667, A.D. 2026-Apr-13 07:00:00.0000, -1.581736297055492E+08,  1.012024745799864E+08,  3.542912087804628E+07, -5.974149659965925E+00, -1.890921038232140E+01, -7.857875971373178E+00,  8.43597406E+05,  2.88814073E+06,  1.24887896E+06,  4.39570477E-01,  2.99066500E-01,  9.31794027E-02,
2461143.833333333, A.D. 2026-Apr-13 08:00:00.0000, -1.581951172340973E+08,  1.011343888803389E+08,  3.540082817047863E+07, -5.963365284259917E+00, -1.891617796879040E+01, -7.860294727805383E+00,  8.42014521E+05,  2.88921723E+06,  1.24921433E+06,  4.39810163E-01,  2.98986787E-01,  9.31348909E-02,
2461143.875000000, A.D. 2026-Apr-13 09:00:00.0000, -1.582165659289994E+08,  1.010662781010749E+08,  3.537252675724344E+07, -5.952575411477287E+00, -1.892314350186949E+01, -7.862712453023287E+00,  8.40430773E+05,  2.89029344E+06,  1.24954953E+06,  4.40050008E-01,  2.98906991E-01,  9.30903412E-02,
2461143.916666667, A.D. 2026-Apr-13 10:00:00.0000, -1.582379757704590E+08,  1.009981422495914E+08,  3.534421664205524E+07, -5.941780037929281E+00, -1.893010697975409E+01, -7.865129146162618E+00,  8.38846161E+05,  2.89136936E+06,  1.24988458E+06,  4.40290011E-01,  2.98827112E-01,  9.30457534E-02,
2461143.958333333, A.D. 2026-Apr-13 11:00:00.0000, -1.582593467386670E+08,  1.009299813332896E+08,  3.531589782863081E+07, -5.930979159922661E+00, -1.893706840063568E+01, -7.867544806357350E+00,  8.37260685E+05,  2.89244499E+06,  1.25021946E+06,  4.40530174E-01,  2.98747149E-01,  9.30011275E-02,
2461144.000000000, A.D. 2026-Apr-13 12:00:00.0000, -1.582806788138008E+08,  1.008617953595772E+08,  3.528757032068996E+07, -5.920172773760060E+00, -1.894402776270165E+01, -7.869959432739631E+00,  8.35674343E+05,  2.89352034E+06,  1.25055419E+06,  4.40770497E-01,  2.98667102E-01,  9.29564633E-02,
2461144.041666667, A.D. 2026-Apr-13 13:00:00.0000, -1.583019719760239E+08,  1.007935843358707E+08,  3.525923412195660E+07, -5.909360875740341E+00, -1.895098506413493E+01, -7.872373024439711E+00,  8.34087137E+05,  2.89459540E+06,  1.25088875E+06,  4.41010978E-01,  2.98586971E-01,  9.29117609E-02,
2461144.083333333, A.D. 2026-Apr-13 14:00:00.0000, -1.583232262054873E+08,  1.007253482695909E+08,  3.523088923615687E+07, -5.898543462157866E+00, -1.895794030311458E+01, -7.874785580586082E+00,  8.32499064E+05,  2.89567016E+06,  1.25122315E+06,  4.41251620E-01,  2.98506756E-01,  9.28670202E-02,
2461144.125000000, A.D. 2026-Apr-13 15:00:00.0000, -1.583444414823284E+08,  1.006570871681651E+08,  3.520253566701999E+07, -5.887720529302854E+00, -1.896489347781545E+01, -7.877197100305392E+00,  8.30910125E+05,  2.89674464E+06,  1.25155739E+06,  4.41492421E-01,  2.98426457E-01,  9.28222410E-02,
2461144.166666667, A.D. 2026-Apr-13 16:00:00.0000, -1.583656177866707E+08,  1.005888010390297E+08,  3.517417341827932E+07, -5.876892073461737E+00, -1.897184458640803E+01, -7.879607582722388E+00,  8.29320319E+05,  2.89781883E+06,  1.25189147E+06,  4.41733383E-01,  2.98346073E-01,  9.27774233E-02,
2461144.208333333, A.D. 2026-Apr-13 17:00:00.0000, -1.583867550986251E+08,  1.005204898896250E+08,  3.514580249367042E+07, -5.866058090916439E+00, -1.897879362705883E+01, -7.882017026960036E+00,  8.27729644E+05,  2.89889274E+06,  1.25222539E+06,  4.41974504E-01,  2.98265604E-01,  9.27325670E-02,
2461144.250000000, A.D. 2026-Apr-13 18:00:00.0000, -1.584078533982889E+08,  1.004521537273983E+08,  3.511742289693198E+07, -5.855218577944731E+00, -1.898574059793017E+01, -7.884425432139472E+00,  8.26138102E+05,  2.89996635E+06,  1.25255915E+06,  4.42215786E-01,  2.98185050E-01,  9.26876721E-02,
2461144.291666667, A.D. 2026-Apr-13 19:00:00.0000, -1.584289126657454E+08,  1.003837925598056E+08,  3.508903463180684E+07, -5.844373530820583E+00, -1.899268549717993E+01, -7.886832797379893E+00,  8.24545691E+05,  2.90103967E+06,  1.25289274E+06,  4.42457229E-01,  2.98104411E-01,  9.26427383E-02,
2461144.333333333, A.D. 2026-Apr-13 20:00:00.0000, -1.584499328810652E+08,  1.003154063943073E+08,  3.506063770204004E+07, -5.833522945813445E+00, -1.899962832296205E+01, -7.889239121798727E+00,  8.22952410E+05,  2.90211270E+06,  1.25322617E+06,  4.42698832E-01,  2.98023687E-01,  9.25977658E-02,
2461144.375000000, A.D. 2026-Apr-13 21:00:00.0000, -1.584709140243054E+08,  1.002469952383704E+08,  3.503223211137983E+07, -5.822666819188600E+00, -1.900656907342622E+01, -7.891644404511559E+00,  8.21358259E+05,  2.90318544E+06,  1.25355945E+06,  4.42940596E-01,  2.97942877E-01,  9.25527544E-02,
2461144.416666667, A.D. 2026-Apr-13 22:00:00.0000, -1.584918560755090E+08,  1.001785590994710E+08,  3.500381786357856E+07, -5.811805147207515E+00, -1.901350774671770E+01, -7.894048644632025E+00,  8.19763237E+05,  2.90425789E+06,  1.25389255E+06,  4.43182522E-01,  2.97861982E-01,  9.25077040E-02,
2461144.458333333, A.D. 2026-Apr-13 23:00:00.0000, -1.585127590147062E+08,  1.001100979850894E+08,  3.497539496239085E+07, -5.800937926127133E+00, -1.902044434097775E+01, -7.896451841271975E+00,  8.18167345E+05,  2.90533004E+06,  1.25422550E+06,  4.43424608E-01,  2.97781001E-01,  9.24626145E-02,
2461144.500000000, A.D. 2026-Apr-14 00:00:00.0000, -1.585336228219138E+08,  1.000416119027128E+08,  3.494696341157454E+07, -5.790065152200209E+00, -1.902737885434339E+01, -7.898853993541413E+00,  8.16570580E+05,  2.90640191E+06,  1.25455828E+06,  4.43666856E-01,  2.97699934E-01,  9.24174859E-02,
2461144.541666667, A.D. 2026-Apr-14 01:00:00.0000, -1.585544474771342E+08,  9.997310085983720E+07,  3.491852321489157E+07, -5.779186821675676E+00, -1.903431128494715E+01, -7.901255100548378E+00,  8.14972943E+05,  2.90747348E+06,  1.25489091E+06,  4.43909265E-01,  2.97618780E-01,  9.23723181E-02,
2461144.583333333, A.D. 2026-Apr-14 02:00:00.0000, -1.585752329603573E+08,  9.990456486396322E+07,  3.489007437610618E+07, -5.768302930797923E+00, -1.904124163091758E+01, -7.903655161399124E+00,  8.13374433E+05,  2.90854477E+06,  1.25522337E+06,  4.44151837E-01,  2.97537541E-01,  9.23271110E-02,
2461144.625000000, A.D. 2026-Apr-14 03:00:00.0000, -1.585959792515591E+08,  9.983600392259815E+07,  3.486161689898586E+07, -5.757413475807148E+00, -1.904816989037892E+01, -7.906054175198039E+00,  8.11775050E+05,  2.90961575E+06,  1.25555566E+06,  4.44394570E-01,  2.97456214E-01,  9.22818645E-02,
2461144.666666667, A.D. 2026-Apr-14 04:00:00.0000, -1.586166863307017E+08,  9.976741804325831E+07,  3.483315078730220E+07, -5.746518452939707E+00, -1.905509606145096E+01, -7.908452141047542E+00,  8.10174792E+05,  2.91068645E+06,  1.25588779E+06,  4.44637465E-01,  2.97374801E-01,  9.22365785E-02,
2461144.708333333, A.D. 2026-Apr-14 05:00:00.0000, -1.586373541777342E+08,  9.969880723346452E+07,  3.480467604482915E+07, -5.735617858427404E+00, -1.906202014224941E+01, -7.910849058048259E+00,  8.08573660E+05,  2.91175685E+06,  1.25621976E+06,  4.44880523E-01,  2.97293301E-01,  9.21912531E-02,
2461144.750000000, A.D. 2026-Apr-14 06:00:00.0000, -1.586579827725920E+08,  9.963017150074445E+07,  3.477619267534384E+07, -5.724711688497837E+00, -1.906894213088573E+01, -7.913244925298931E+00,  8.06971652E+05,  2.91282696E+06,  1.25655157E+06,  4.45123743E-01,  2.97211714E-01,  9.21458880E-02,
2461144.791666667, A.D. 2026-Apr-14 07:00:00.0000, -1.586785720951964E+08,  9.956151085263476E+07,  3.474770068262767E+07, -5.713799939374748E+00, -1.907586202546683E+01, -7.915639741896326E+00,  8.05368769E+05,  2.91389678E+06,  1.25688322E+06,  4.45367125E-01,  2.97130040E-01,  9.21004832E-02,
2461144.833333333, A.D. 2026-Apr-14 08:00:00.0000, -1.586991221254557E+08,  9.949282529667673E+07,  3.471920007046427E+07, -5.702882607277320E+00, -1.908277982409558E+01, -7.918033506935416E+00,  8.03765009E+05,  2.91496630E+06,  1.25721470E+06,  4.45610671E-01,  2.97048278E-01,  9.20550386E-02,
2461144.875000000, A.D. 2026-Apr-14 09:00:00.0000, -1.587196328432648E+08,  9.942411484041844E+07,  3.469069084264059E+07, -5.691959688420511E+00, -1.908969552487052E+01, -7.920426219509261E+00,  8.02160371E+05,  2.91603552E+06,  1.25754601E+06,  4.45854379E-01,  2.96966428E-01,  9.20095542E-02,
2461144.916666667, A.D. 2026-Apr-14 10:00:00.0000, -1.587401042285038E+08,  9.935537949141714E+07,  3.466217300294775E+07, -5.681031179015418E+00, -1.909660912588567E+01, -7.922817878708964E+00,  8.00554857E+05,  2.91710446E+06,  1.25787716E+06,  4.46098251E-01,  2.96884491E-01,  9.19640299E-02,
2461144.958333333, A.D. 2026-Apr-14 11:00:00.0000, -1.587605362610403E+08,  9.928661925723456E+07,  3.463364655517924E+07, -5.670097075268558E+00, -1.910352062523094E+01, -7.925208483623792E+00,  7.98948464E+05,  2.91817309E+06,  1.25820815E+06,  4.46342286E-01,  2.96802465E-01,  9.19184655E-02,
2461145.000000000, A.D. 2026-Apr-14 12:00:00.0000, -1.587809289207280E+08,  9.921783414543952E+07,  3.460511150313179E+07, -5.659157373382214E+00, -1.911043002099191E+01, -7.927598033341118E+00,  7.97341192E+05,  2.91924143E+06,  1.25853898E+06,  4.46586485E-01,  2.96720351E-01,  9.18728611E-02,
2461145.041666667, A.D. 2026-Apr-14 13:00:00.0000, -1.588012821874064E+08,  9.914902416360980E+07,  3.457656785060640E+07, -5.648212069554801E+00, -1.911733731124962E+01, -7.929986526946324E+00,  7.95733041E+05,  2.92030948E+06,  1.25886964E+06,  4.46830847E-01,  2.96638149E-01,  9.18272164E-02,
2461145.083333333, A.D. 2026-Apr-14 14:00:00.0000, -1.588215960409018E+08,  9.908018931932792E+07,  3.454801560140644E+07, -5.637261159980131E+00, -1.912424249408098E+01, -7.932373963522961E+00,  7.94124010E+05,  2.92137723E+06,  1.25920013E+06,  4.47075373E-01,  2.96555858E-01,  9.17815316E-02,
2461145.125000000, A.D. 2026-Apr-14 15:00:00.0000, -1.588418704610268E+08,  9.901132962018338E+07,  3.451945475933848E+07, -5.626304640847779E+00, -1.913114556755854E+01, -7.934760342152670E+00,  7.92514098E+05,  2.92244468E+06,  1.25953046E+06,  4.47320063E-01,  2.96473479E-01,  9.17358064E-02,
2461145.166666667, A.D. 2026-Apr-14 16:00:00.0000, -1.588621054275799E+08,  9.894244507377480E+07,  3.449088532821345E+07, -5.615342508343430E+00, -1.913804652975027E+01, -7.937145661915096E+00,  7.90903305E+05,  2.92351184E+06,  1.25986063E+06,  4.47564917E-01,  2.96391010E-01,  9.16900407E-02,
2461145.208333333, A.D. 2026-Apr-14 17:00:00.0000, -1.588823009203461E+08,  9.887353568770556E+07,  3.446230731184464E+07, -5.604374758648162E+00, -1.914494537872000E+01, -7.939529921888040E+00,  7.89291631E+05,  2.92457870E+06,  1.26019063E+06,  4.47809936E-01,  2.96308452E-01,  9.16442346E-02,
2461145.250000000, A.D. 2026-Apr-14 18:00:00.0000, -1.589024569190970E+08,  9.880460146958596E+07,  3.443372071404862E+07, -5.593401387938798E+00, -1.915184211252718E+01, -7.941913121147381E+00,  7.87679074E+05,  2.92564526E+06,  1.26052047E+06,  4.48055119E-01,  2.96225805E-01,  9.15983879E-02,
2461145.291666667, A.D. 2026-Apr-14 19:00:00.0000, -1.589225734035896E+08,  9.873564242703563E+07,  3.440512553864625E+07, -5.582422392388263E+00, -1.915873672922667E+01, -7.944295258766997E+00,  7.86065634E+05,  2.92671152E+06,  1.26085014E+06,  4.48300468E-01,  2.96143068E-01,  9.15525006E-02,
2461145.333333333, A.D. 2026-Apr-14 20:00:00.0000, -1.589426503535677E+08,  9.866665856767888E+07,  3.437652178946080E+07, -5.571437768164857E+00, -1.916562922686913E+01, -7.946676333818912E+00,  7.84451310E+05,  2.92777749E+06,  1.26117965E+06,  4.48545981E-01,  2.96060242E-01,  9.15065725E-02,
2461145.375000000, A.D. 2026-Apr-14 21:00:00.0000, -1.589626877487614E+08,  9.859764989914712E+07,  3.434790947031884E+07, -5.560447511432614E+00, -1.917251960350084E+01, -7.949056345373209E+00,  7.82836102E+05,  2.92884316E+06,  1.26150899E+06,  4.48791659E-01,  2.95977326E-01,  9.14606035E-02,
2461145.416666667, A.D. 2026-Apr-14 22:00:00.0000, -1.589826855688864E+08,  9.852861642908102E+07,  3.431928858505130E+07, -5.549451618351661E+00, -1.917940785716345E+01, -7.951435292497965E+00,  7.81220010E+05,  2.92990852E+06,  1.26183816E+06,  4.49037502E-01,  2.95894319E-01,  9.14145937E-02,
2461145.458333333, A.D. 2026-Apr-14 23:00:00.0000, -1.590026437936452E+08,  9.845955816512600E+07,  3.429065913749149E+07, -5.538450085077481E+00, -1.918629398589442E+01, -7.953813174259393E+00,  7.79603032E+05,  2.93097359E+06,  1.26216717E+06,  4.49283511E-01,  2.95811222E-01,  9.13685429E-02,
2461145.500000000, A.D. 2026-Apr-15 00:00:00.0000, -1.590225624027262E+08,  9.839047511493459E+07,  3.426202113147610E+07, -5.527442907761284E+00, -1.919317798772678E+01, -7.956189989721763E+00,  7.77985168E+05,  2.93203836E+06,  1.26249602E+06,  4.49529686E-01,  2.95728035E-01,  9.13224510E-02,
2461145.541666667, A.D. 2026-Apr-15 01:00:00.0000, -1.590424413758036E+08,  9.832136728616875E+07,  3.423337457084608E+07, -5.516430082550353E+00, -1.920005986068890E+01, -7.958565737947316E+00,  7.76366418E+05,  2.93310284E+06,  1.26282469E+06,  4.49776026E-01,  2.95644757E-01,  9.12763180E-02,
2461145.583333333, A.D. 2026-Apr-15 02:00:00.0000, -1.590622806925384E+08,  9.825223468649513E+07,  3.420471945944488E+07, -5.505411605587326E+00, -1.920693960280495E+01, -7.960940417996428E+00,  7.74746781E+05,  2.93416701E+06,  1.26315321E+06,  4.50022532E-01,  2.95561388E-01,  9.12301437E-02,
2461145.625000000, A.D. 2026-Apr-15 03:00:00.0000, -1.590820803325772E+08,  9.818307732358766E+07,  3.417605580111935E+07, -5.494387473010543E+00, -1.921381721209465E+01, -7.963314028927511E+00,  7.73126256E+05,  2.93523088E+06,  1.26348155E+06,  4.50269205E-01,  2.95477928E-01,  9.11839282E-02,
2461145.666666667, A.D. 2026-Apr-15 04:00:00.0000, -1.591018402755527E+08,  9.811389520512959E+07,  3.414738359972058E+07, -5.483357680954414E+00, -1.922069268657302E+01, -7.965686569796955E+00,  7.71504842E+05,  2.93629445E+06,  1.26380973E+06,  4.50516044E-01,  2.95394377E-01,  9.11376712E-02,
2461145.708333333, A.D. 2026-Apr-15 05:00:00.0000, -1.591215605010840E+08,  9.804468833880903E+07,  3.411870285910222E+07, -5.472322225548682E+00, -1.922756602425086E+01, -7.968058039659254E+00,  7.69882540E+05,  2.93735772E+06,  1.26413774E+06,  4.50763049E-01,  2.95310735E-01,  9.10913727E-02,
2461145.750000000, A.D. 2026-Apr-15 06:00:00.0000, -1.591412409887761E+08,  9.797545673232129E+07,  3.409001358312127E+07, -5.461281102918788E+00, -1.923443722313450E+01, -7.970428437566945E+00,  7.68259348E+05,  2.93842069E+06,  1.26446559E+06,  4.51010221E-01,  2.95227000E-01,  9.10450327E-02,
2461145.791666667, A.D. 2026-Apr-15 07:00:00.0000, -1.591608817182197E+08,  9.790620039337113E+07,  3.406131577563912E+07, -5.450234309186221E+00, -1.924130628122555E+01, -7.972797762570521E+00,  7.66635266E+05,  2.93948335E+06,  1.26479327E+06,  4.51257560E-01,  2.95143174E-01,  9.09986510E-02,
2461145.833333333, A.D. 2026-Apr-15 08:00:00.0000, -1.591804826689921E+08,  9.783691932966831E+07,  3.403260944051962E+07, -5.439181840467800E+00, -1.924817319652137E+01, -7.975166013718577E+00,  7.65010294E+05,  2.94054572E+06,  1.26512078E+06,  4.51505066E-01,  2.95059256E-01,  9.09522276E-02,
2461145.875000000, A.D. 2026-Apr-15 09:00:00.0000, -1.592000438206565E+08,  9.776761354892969E+07,  3.400389458163001E+07, -5.428123692876021E+00, -1.925503796701481E+01, -7.977533190057743E+00,  7.63384430E+05,  2.94160778E+06,  1.26544812E+06,  4.51752740E-01,  2.94975246E-01,  9.09057624E-02,
2461145.916666667, A.D. 2026-Apr-15 10:00:00.0000, -1.592195651527615E+08,  9.769828305888174E+07,  3.397517120284200E+07, -5.417059862519421E+00, -1.926190059069403E+01, -7.979899290632576E+00,  7.61757674E+05,  2.94266954E+06,  1.26577530E+06,  4.52000581E-01,  2.94891143E-01,  9.08592553E-02,
2461145.958333333, A.D. 2026-Apr-15 11:00:00.0000, -1.592390466448425E+08,  9.762892786725579E+07,  3.394643930802974E+07, -5.405990345501850E+00, -1.926876106554283E+01, -7.982264314485750E+00,  7.60130025E+05,  2.94373099E+06,  1.26610231E+06,  4.52248589E-01,  2.94806948E-01,  9.08127063E-02,
2461146.000000000, A.D. 2026-Apr-15 12:00:00.0000, -1.592584882764206E+08,  9.755954798179060E+07,  3.391769890107082E+07, -5.394915137922824E+00, -1.927561938954057E+01, -7.984628260657937E+00,  7.58501484E+05,  2.94479215E+06,  1.26642915E+06,  4.52496765E-01,  2.94722659E-01,  9.07661151E-02,
2461146.041666667, A.D. 2026-Apr-15 13:00:00.0000, -1.592778900270023E+08,  9.749014341023430E+07,  3.388894998584728E+07, -5.383834235877888E+00, -1.928247556066179E+01, -7.986991128187753E+00,  7.56872048E+05,  2.94585300E+06,  1.26675582E+06,  4.52745109E-01,  2.94638278E-01,  9.07194818E-02,
2461146.083333333, A.D. 2026-Apr-15 14:00:00.0000, -1.592972518760807E+08,  9.742071416034022E+07,  3.386019256624360E+07, -5.372747635457885E+00, -1.928932957687676E+01, -7.989352916111901E+00,  7.55241719E+05,  2.94691354E+06,  1.26708233E+06,  4.52993622E-01,  2.94553804E-01,  9.06728063E-02,
2461146.125000000, A.D. 2026-Apr-15 15:00:00.0000, -1.593165738031349E+08,  9.735126023986888E+07,  3.383142664614785E+07, -5.361655332749311E+00, -1.929618143615118E+01, -7.991713623465078E+00,  7.53610494E+05,  2.94797378E+06,  1.26740867E+06,  4.53242303E-01,  2.94469236E-01,  9.06260884E-02,
2461146.166666667, A.D. 2026-Apr-15 16:00:00.0000, -1.593358557876291E+08,  9.728178165659045E+07,  3.380265222945239E+07, -5.350557323834679E+00, -1.930303113644599E+01, -7.994073249279919E+00,  7.51978374E+05,  2.94903372E+06,  1.26773484E+06,  4.53491152E-01,  2.94384574E-01,  9.05793282E-02,
2461146.208333333, A.D. 2026-Apr-15 17:00:00.0000, -1.593550978090142E+08,  9.721227841828020E+07,  3.377386932005225E+07, -5.339453604791788E+00, -1.930987867571778E+01, -7.996431792587124E+00,  7.50345358E+05,  2.95009335E+06,  1.26806084E+06,  4.53740170E-01,  2.94299819E-01,  9.05325255E-02,
2461146.250000000, A.D. 2026-Apr-15 18:00:00.0000, -1.593742998467268E+08,  9.714275053272071E+07,  3.374507792184584E+07, -5.328344171694074E+00, -1.931672405191858E+01, -7.998789252415386E+00,  7.48711445E+05,  2.95115268E+06,  1.26838667E+06,  4.53989356E-01,  2.94214970E-01,  9.04856802E-02,
2461146.291666667, A.D. 2026-Apr-15 19:00:00.0000, -1.593934618801889E+08,  9.707319800770430E+07,  3.371627803873609E+07, -5.317229020610983E+00, -1.932356726299560E+01, -8.001145627791320E+00,  7.47076634E+05,  2.95221170E+06,  1.26871234E+06,  4.54238712E-01,  2.94130027E-01,  9.04387922E-02,
2461146.333333333, A.D. 2026-Apr-15 20:00:00.0000, -1.594125838888088E+08,  9.700362085102828E+07,  3.368746967462845E+07, -5.306108147607227E+00, -1.933040830689170E+01, -8.003500917739601E+00,  7.45440926E+05,  2.95327042E+06,  1.26903783E+06,  4.54488237E-01,  2.94044989E-01,  9.03918615E-02,
2461146.375000000, A.D. 2026-Apr-15 21:00:00.0000, -1.594316658519807E+08,  9.693401907049750E+07,  3.365865283343194E+07, -5.294981548743147E+00, -1.933724718154514E+01, -8.005855121282885E+00,  7.43804319E+05,  2.95432882E+06,  1.26936316E+06,  4.54737932E-01,  2.93959857E-01,  9.03448880E-02,
2461146.416666667, A.D. 2026-Apr-15 22:00:00.0000, -1.594507077490840E+08,  9.686439267392647E+07,  3.362982751905998E+07, -5.283849220075077E+00, -1.934408388488935E+01, -8.008208237441734E+00,  7.42166812E+05,  2.95538693E+06,  1.26968831E+06,  4.54987796E-01,  2.93874630E-01,  9.02978716E-02,
2461146.458333333, A.D. 2026-Apr-15 23:00:00.0000, -1.594697095594846E+08,  9.679474166913486E+07,  3.360099373542863E+07, -5.272711157654605E+00, -1.935091841485338E+01, -8.010560265234766E+00,  7.40528406E+05,  2.95644472E+06,  1.27001330E+06,  4.55237830E-01,  2.93789307E-01,  9.02508122E-02,
2461146.500000000, A.D. 2026-Apr-16 00:00:00.0000, -1.594886712625340E+08,  9.672506606394982E+07,  3.357215148645742E+07, -5.261567357528940E+00, -1.935775076936165E+01, -8.012911203678563E+00,  7.38889100E+05,  2.95750221E+06,  1.27033812E+06,  4.55488034E-01,  2.93703890E-01,  9.02037097E-02,
2461146.541666667, A.D. 2026-Apr-16 01:00:00.0000, -1.595075928375688E+08,  9.665536586620826E+07,  3.354330077607043E+07, -5.250417815741264E+00, -1.936458094633374E+01, -8.015261051787611E+00,  7.37248892E+05,  2.95855939E+06,  1.27066277E+06,  4.55738408E-01,  2.93618378E-01,  9.01565640E-02,
2461146.583333333, A.D. 2026-Apr-16 02:00:00.0000, -1.595264742639124E+08,  9.658564108375227E+07,  3.351444160819432E+07, -5.239262528330004E+00, -1.937140894368479E+01, -8.017609808574427E+00,  7.35607783E+05,  2.95961626E+06,  1.27098725E+06,  4.55988952E-01,  2.93532769E-01,  9.01093751E-02,
2461146.625000000, A.D. 2026-Apr-16 03:00:00.0000, -1.595453155208734E+08,  9.651589172443153E+07,  3.348557398675935E+07, -5.228101491329192E+00, -1.937823475932533E+01, -8.019957473049502E+00,  7.33965772E+05,  2.96067283E+06,  1.27131156E+06,  4.56239667E-01,  2.93447065E-01,  9.00621428E-02,
2461146.666666667, A.D. 2026-Apr-16 04:00:00.0000, -1.595641165877458E+08,  9.644611779610543E+07,  3.345669791570024E+07, -5.216934700768822E+00, -1.938505839116097E+01, -8.022304044221190E+00,  7.32322857E+05,  2.96172908E+06,  1.27163570E+06,  4.56490553E-01,  2.93361266E-01,  9.00148671E-02,
2461146.708333333, A.D. 2026-Apr-16 05:00:00.0000, -1.595828774438097E+08,  9.637631930663875E+07,  3.342781339895432E+07, -5.205762152674120E+00, -1.939187983709292E+01, -8.024649521095910E+00,  7.30679039E+05,  2.96278503E+06,  1.27195966E+06,  4.56741609E-01,  2.93275369E-01,  8.99675479E-02,
2461146.750000000, A.D. 2026-Apr-16 06:00:00.0000, -1.596015980683313E+08,  9.630649626390372E+07,  3.339892044046259E+07, -5.194583843065904E+00, -1.939869909501769E+01, -8.026993902677994E+00,  7.29034318E+05,  2.96384066E+06,  1.27228346E+06,  4.56992837E-01,  2.93189377E-01,  8.99201851E-02,
2461146.791666667, A.D. 2026-Apr-16 07:00:00.0000, -1.596202784405613E+08,  9.623664867578250E+07,  3.337001904417049E+07, -5.183399767960940E+00, -1.940551616282689E+01, -8.029337187969670E+00,  7.27388691E+05,  2.96489599E+06,  1.27260709E+06,  4.57244236E-01,  2.93103288E-01,  8.98727787E-02,
